57;VEKTOR ANALYSIS;PHILLIPS , H.B;516;II
58;VECTOR ANALYSIS;PHILLIPS , H.B;516;II
59;MATHEMATICAL CONTROL MACHINES;LOSKUTOV , V;510.78;II
60;OPERATIONS RESEARCH : sebuah pengantar;SIMAMARTA , DJ A;519;V
61;PROBABILLITY AND STATISTICS FOR ENGINEERS;MILLER , WIN;519;V
62;DIFFERENTIAL AND INTEGRAL CALCULUS;COURANT , R;515.33;II
63;FUNCTIONAL ANALYSIS;RUDIN , WALTER;515.7;II
64;METODE-METODE PENELITIAN MASYARAKAT;KOENTJARANINGRAT;1.42;I
65;MICRO COMPUTER TECHNOLOGY AN INTRODUCTION;ULLMAN , JULIAN R;"001;64.04";I
66;ANALYTIC GEOMETRI;POSTNIKOP M;516.3;II
67;DBASE III PLUS;DINERSTEIN ,NELSON T;001.542.5;I
68;INTRODUCTION THE DESIGN AND ANALYSIS OF ALGORITHMS;GOODMAN ,S.E;518;II
69;PERMULAAN GEOMETRI DIFERENSIAL;RAWUH;516.36;II
70;PERMULAAN GEOMETRI DIFERENSIAL;RAWUH;516.36;II
71;ADVANCED MATHEMATICAL ANALYSIS;BEALS ,RICHARD;515;II
72;FUNCTIONAL ANALYSIS;RUDIN ,WALTER;515.7;II
73;REAL AND COMPLEX ANALYSIS;RUDIN ,WALTER;515.9;II
74;PARTIAL DIFFERENTIAL EQUATIONS;STRAUSS , WALTER A;515.353;II
75;INTRODUCTION TO ORDINARY DIFFERENTIAL EQUATIONS;ROSS , SHEPLEY L;515.352;II
76;INTRODUCTION TO OPERATIONS RESEARCH;CHURCHMAN , C WEST;519;V
77;LINEAR ALGEBRA;HOFFMAN , KENNETH;512.5;II
78;INTRODUCTION THE DESIGN AND ANALYSIS OF ALGORITHMS;GOODMAN ,S.E;511.8;II
79;FORECASTING METHODS AND APLICATION;MAKRIDAKIS ,SPYROS;338.5'442;V
80;MULTIVARIABLE CALCULUS 5TH. ED.;ANTON , HOWARD;515;II
81;MULTIVARIATE STATISTICAL METHODS;MORRISON ,DONALD F;519.5'35;V
82;STOCHASTIC MODELING AND THE THEORY QUENES;WOLF ,RONALD W;519.23;V
83;PARTIAL DIFFERENTIAL EQUATIONS OF APPLIED MATHEMATICS;ZAUDERER ,ERICK;515.353;II
84;CALCULUS FOR BUSINESS.ECNOMICS.AND THE SOCIAL LIFE SCIENCES;HOFFMANN , LAURENCE D;515;II
85;TOPICS IN ALGEBRA;HERSTEIN ,I.N;512;II
86;CALCULUS ONE AND SEVERAL VARIABLES;SALAS  ,SATURNINO L;515;II
87;MATHEMATICS FOR THE TECHNOLOGIES WITH CALCULUS;CLAR ,LAWRENCE M;510;II
88;AN INTRODUCTION TO THE THEORY OF NUMBERS;HARDY , G.H;512.7;II
89;GEOMETRICAL METHODS OF NONLINEAR ANALYSIS;KRASNOSEL , SKII M.A;515.7'248;II
90;TEKNIK ANALISIS REGRESI DAN KORELASI  BAGI PARA PENELITI;SUDJANA;310;V
91;LINEAR ALGEBRA;HADLEY ,G;512.5;II
92;DYNAMIC PROGRAMMING;KAUFMANN ,A;"519;703";V
93;COBOL FOR STUDENTS;PARKIN , ANDREW;5.2;I
94;MATRIX THEORY WITH APPLICATIONS;GOLDBERG ,JACK L;512.9434;II
95;NUMERICAL METHODS AND ANALYSIS;BUCHANAN ,JAMES L;519.4`285;V
96;PROGRAMMING WITH STRUCTURED BASIC;GOTTFRIED ,BYRON S;5.1;I
97;MATHEMATICAL LOGIC AND COMPUTABILITY;KEISLER , H JEROME;511.3;II
98;LINEAR ALGEBRA;HOFFMAN , KENNETH;512.5;II
99;MODERN ALGEBRA;BALAKRISHNAN;512;II
100;AN INTRODUCTION TO COMPUTING;WILDE , DANIEL U;4;I
101;THEORY OF ELASTICITY;FILONENKO , M;531.382;V
102;KALKULUS DIFERENSIAL;MARTONO , KOKO;515.33;II
103;MANAGEMENT INFORMATION SYSTEMS;DAVIS , GORDON B;658.403.8;V
104;METODE PENELITIAN SURVAI;SINGARIMBUN , MASRI;519;V
105;NONLINEAR PROGRAMMING THEORY AND ALGORITHMS;BAZARRA ,MOKHTAR S;519;V
106;KONSEP DAN APLIKASI METODE ELEMEN HINGGA;COOK , ROBERT D;512;II
107;THEORY OF FUNCTIONS OF REAL VARIABLES;GRAVES ,LAWRENCE M;517.52;II
108;FINITE ELEMENS FOR STRUCTURAL ANALYSIS;WEAVER , WILLIAM , JR;515.35;II
109;LINEAR PROGRAMMING AND NETWORK FLOWS;BAZARAA , MOKHTAR S;519.72;V
110;FUNCTIONAL ANALYSIS;RUDIN , WALTER;515.7;II
111;AN INTRODUCTION TO PROBABILITY THEORY AND ITS APPLICATIONS;FELLER , WILLIAM;519.2;V
112;ADVANCED CALCULUS;WIDDER ,DAVID V;515.15;II
113;APPLICATIONS OF DISCRETE MATHEMATICS;MICHAELS , JOHN B;510;II
114;DIFFERENTIAL EQUATIONS FOR ENGINEERS;CREESE , T.M;515.35;II
115;FINANCE AND ACCOUNTING FOR NONFINANCIAL MANAGERS;FINKLER ,STEVEN A;658.15;V
116;FOURIER SERIES AND BOUNDARY VALUE PROBLEM;CHURCHILL ,RUEL V;515.62;II
117;AN ELEMENTARY APPROACH TO FUNCTIONS;KORN , HENRY R;515;II
118;CALCULUS;HOFFMANN , LAURENCE;515.15;II
119;DIFFERENTIAL EQUATIONS FOR ENGINEERS;CREESE , T.M;515.35;II
120;PRODUCTION CONTROL A QUANTITATIVE APPROACH;FINKLER ,STEVEN A;657.48;V
121;MODERN MATHEMATICAL STATISTICS;DUDEWITZ , EDWARD J;519.5;V
122;INTRODUCTION TO SIMULATION USING SIMAN;PEGDEN ,C DENNIS;511.8;II
123;DISCRETE MATHEMATICS A UNIFIED APPROACH;WIITALA , STEPHEN A;510;II
124;LINEAR PROGRAMMING AND NETWORK FLOWS;BAZARRA , MOKHTAR S;519.72;V
125;SISTEM DIGITAL;TOCCI ,RONALD J;1.23;I
126;KALKULUS DAN ILMU UKUR ANALITIK. JILID 2;MARTONO , KOKO;515.15;II
127;THERMODINAMIC FOR ENGINEERS;DOOLITTLE ,JESSE S;621.4021;V
128;MATHEMATICS FOR TECHNICIANS;GREER , A;510;II
129;A COURSE IN FUNCTIONAL ANALYSIS. 2 ND ED.;CONWAY , JOHN B;515.7;II
130;ABSTRACT ALGEBRA;DUMMIT , DAVID S;512.02;II
131;DIGITAL SPEECH PROCESSING.SYNTHESIS. AND RECOGNITION;FURYI ,SADAOKI;621.39'9;V
132;INTRODUCTION TO THE CALCULUS OF VARIATIONS AND ITS APPLICATIONS;WAN ,FREDERICK Y.M;515;II
133;AN INTRODUCTION TO ANALYSIS;MIKUSINKI ,JAN;515.43;II
134;GEOMETRY FROM A DIFFERENTIABLE VIEWPOINT;MC CLEARY ,JOHN;516.204;II
135;INTEGRABLE MODELS;ASHOK ,DAS;515.4;II
136;CRM MONOGRAPH SERIES (DIFFERENTIATION OF REAL FUNCTIONS);BRUCHNER , ANDREW M;518.8;II
137;THE ANALYSIS DESIGN AND IMPLEMENTATION OF INFORMATION SYSTEMS;LUCAS , HENRY C;658.403.88;V
138;FUZZY SETS AND INTERACTIVE MULTIOBJECTIVE OPTIMIZATION;SAKAWA , MASATOSHI;658.44'33;V
139;PRACTICAL RISK THEORY FOR ACTUARIES;DAYKIN , C.D;368.01;V
140;INTRODUCTORY MATHEMATICAL ANALYSIS. 7 TH ED.;HAEUSLER ,ERNEST;515;II
141;AN INTRODUCTION TO DIFFERENTIAL EQUATIONS AND THEIR APPLICATIONS;FARLOW , STANLEY J;519;V
142;COMPLEMENTARY PENSION INSTITUTES OR COMPLEMENTARY PENSION SCHEMES;;368;V
143;THEORY AND PROBLEMS OF FINITE MATHEMATICS;LIPSHUTZ , SEYMOUR;510;II
144;PRINCIPLES OF MATHEMATICAL ANALYSIS THIRD EDITION;RUDIN , WALTER;515;II
145;COMPLEX VARIABLES AND APPLICATIONS;CHURCHILL ,R.V;515.7;II
146;ELEMENTARY LINEAR ALGEBRA;ANTON , HOWARD;512.5;II
147;DATA STRUCTURES & PROGRAM DESIGN;KRUSE , ROBERT L;5.72;I
148;PROGRAMMING IN PASCAL;TREMBLAY , PAUL;5.133;I
149;SIMULATION MODELING AND ANALYSIS;LOW , AVERILL M;3.3;I
150;ANALYTIC GEOMETRY;RIDDLE F. DOUGLAS;516.3;II
151;KALKULUS DIFFERENSIAL DAN INTEGRAL I;HUTAHAEAN , E;515.23;II
152;PENGANTAR MATEMATIKA UNTUK EKONOMI;JOHANNES , H;330.145.3;V
153;PARTIAL DIFFERENTIAL EQUATIONS FOR SCIENTIST & ENGINERS;FARLOW ,S.J;515.353;II
154;LINEAR OPTIMIZATION AND EXTENSIONS;SHU , CHERNG FANG;519.3;V
155;MODERN MATHEMATICAL STATISTICS;DUDEWICZ ,EDWARD J;519.5;V
156;THEORY AND PROBLEMS OF OPERATIONS RESEARCH;BRONSON RICHARD;519;V
157;ORDINARY DIFFERENTIAL EQUATIONS;BIRKHOFF , GARRETT;515.352;II
158;LABOR ECONOMICS AND LABOR RELATION;REYNOLDS LLOYD , G;331;V
159;INTRODUCTION TO MATHEMATICAL ANALYSIS;PARZYNSKI , WILLIAM R;515;II
160;THE FINITE ELEMENT METHOD;ZIENKIEWICZ , O.C;510;II
161;FUZZY PENDEKATAN  MATEMATIK UNTUK PENGENALAN POLA;PAL , SAWKAR K;511.322;II
162;SIMULATION MODELING AND ANALYSIS;LAW , AVERILL M;3.3;I
163;MATHEMATICS METHODS AND MODELING FOR TODAYS MATHEMATICS CLASSROOM;DOSSEY , JOHN A.;"510;71";II
164;NUMERICAL METHODS FOR ENGINEERS AND SCIENTISTS;HOFFMAN ,JOE D;519.4;V
165;PENGENALAN METODA ELEMEN HINGGA;HADIPRATOMO ,WINARNI;512;II
166;ASSEMBLER LANGUAGE PROGRAMMING FOR THE IBM 370;CARRANO ,FRANK M;5.2;I
167;GRAPH THEORY;DEO , NARSINGH;511.5;II
168;COMPUTER ORGANIZATION;HAMACHER , V. CARL;621.381.9;V
169;NUMERICAL CALCULATIONS ALGORITHMS;BECKETT ,ROYCE;519.4;V
170;MINITAB MINI-MANUAL;;5.3;I
171;NUMERICAL METHODS A SOFTWARE APPROACH;JOHNSTON ,R.L;519.4;V
172;RELATION TRANSFORMATIONS AN STATISTICS;FRYER , ELLIOT;511.33;II
173;STATISTICAL PACKAGE FOR THE SOCIAL SCIENCES;NIE , NORMAN H;519;V
174;ELEMENTARY NUMERICAL ANALYSIS;ATKINSON , KENDAL;515;II
175;PENERAPAN STATISTIK;;510;II
176;DISCRETE MATHEMATICAL  STRUCTURES;KOLMAN , BERNARD;510;II
177;INTRODUCTION TO DIFFERENTIAL AND DYNAMICAL SYSTEM;WILLIAMSON , RICHARD E;515.352;II
178;FOUNDATIONS OF ABSTRACT MATHEMATICS;KURTZ , DAVID C;512.02;II
179;TIME SERIES MODELS;HARVEY , ANDREW C;519.232;V
180;NUMERICAL METHODS FOR ENGINEERS THIRD ED.;CHAPRA STEVEN C;515.6;II
181;MATHEMATICAL FOR BUSINESS AND ECONOMICS;NICHOLSON , ROBERT H;519;V
182;DIFFERENTIAL EQUATIONS THEORY.NUMERICS AND APPLICATIONS;GROESEN E VAN;515.33;II
183;UNDERGRADUATE ALGEBRA;LANG , SERGE;512.9;II
184;KOMUNIKASI DATA;GREEN ,DC;4.6;I
185;KONSEP DAN PERANCANGAN DATABASE;KRISTANTO , HARIANTO;5.74;I
186;BELAJAR MIKROKONTROLER AT 89C51/52/55;PUTRA , AGFIANTO EKO;5.2;I
187;INTERNET WORKING TECHNOLOGIES HANDBOOK;DOWNES , KEVIN;5.2;I
188;EUCLID THE CREATION OF MATHEMATICS;ARTMANN ,BENNO;510;II
189;MAPLE UNTUK PERSAMAAN DIFERENSIAL;KARTONO;510.285;II
190;COMPUTATIONAL GEOMETRY;BERG , M.DE;517;II
191;CONTROLLED MARHOV PROCESSES AND VISCOSITY SOLUTIONS;FLEMING , WENDELL H;519.7;V
192;FOUNDATIONS OF MATHEMATICS;ENGELER , ERWIN;510;II
193;INFINITE FROCESSES BACKGROUND TO ANALYSIS;A. GARDINER;515.24;II
194;LIFE INSURANCE MATHEMATICS;GERBER , HANS U;519;V
195;A COURSE IN THE THEORY OF STOCHASTIC PROCESSES;WENTZELL ,A.D;519.23;V
196;COMPLEX VARIABLES AND APPLICATIONS;CHURCHILL ,R.V;515.7;II
197;FUZZY SETS UNCERTAINTY AND INFORMATION;KLIR ,GEORGE J;511.322;II
198;THEORY AND PROBLEMS OF FEEDBACK AND CONTROL SYSTEMS;DISTEFANO ,JOSEPH J;629.83;V
199;MATHEMATICAL HANDBOOK OF FORMULAS AND TABLES;SPIEGEL , MURRAY R;519;V
200;PRACTICAL RISK THEORY FOR ACTUARIES;DAYKIN , C.D;368.01;V
201;OPERATIONS RESEARCH AN INTRODUCTION;TAHA , HAMDY A;519;V
202;INTRODUCTION TO NUMERICAL ANALYSIS;STUMMEL , F;515;II
203;PRINCIPLES OF APPLIED MATHEMATICS TRANSFORMATION AND APPROXIMATION;KEENER , JAMES P;519;V
204;GRADUATE TEXTS IN MATHEMATICS;LANG , SERGE;515.7;II
205;MATHEMATICAL METHODS IN CHEMICAL ENGINEERING;JENSON V.G;519;V
206;SARI INFORMASI KALKULUS PEUBAH BANYAK;MARTONO KOKO;515;II
207;DIFFERENTIAL EQUATIONS MODELS VOL.I;BRAMS , STEVEN J;510;II
208;POLITICAL AND RELATED MODELS. VOL.II;BRAMS , STEVEN J;510;II
209;DISCRETE AND SYSTEM MODELS VOL.III;BRAMS ,STEVEN J;510;II
210;LIFE SCIENCE MODELS VO. IV;BRAMS ,STEVEN J;510;II
211;LINEAR ALGEBRA WITH APPLICATIONS;BRETSCHER , OTTO;512.5;II
212;CALCULUS;APOSTOL , TOM M;515.15;II
213;MATHEMATICAL FOR BUSINESS AND ECONOMICS;NICHOLSON , ROBERT H;519;V
214;MATHEMATICS FOR COMPUTER ALGEBRA;MIGNOTTE ,MAURICE;512;II
215;MATHEMATICAL BIOLOGY;MURRAY , J.D;570.1.5118;V
216;APPLIED MATHEMATICS IN CHEMICAL ENGINEERING;SHERWOOD MIKLEY;519;V
217;KALKULUS;MARTONO , KOKO;515;II
218;INTRODUCTION TO ANALYSIS;GAUGHAN , EDWARD;515;II
219;ORGANISASI KOMPUTER;HAMACHER , V , CARL;4.22;I
220;ORGANISASI KOMPUTER;HAMACHER , V , CARL;4.22;I
221;METODE NUMERIK EDISI KEII;CHAPRA STEVEN;515.6;II
222;FOURIER SERIES AND BOUNDARY VALUE PROBLEMS;CHURCHILL;515.62;II
223;ANALISIS VEKTOR;SPIEGEL , MURRAY R;515;II
224;ANALISIS NUMERIK;SCHIELD ,FRANCIS;515;II
225;HARVARD GRAPHICS UNTUK WINDOWS;JONES GERALD E;6.6;I
226;HARVARD GRAPHICS UNTUK WINDOWS;JONES GERALD E;6.6;I
227;KALKULUS DAN GEOMETRI ANALITIS JILID I EDISI KELIMA;PURCELL ,EDWIN J;515.15;II
228;METODE DAN ANALISIS PENELITIAN;WALIZER ,MICHAEL H;1.42;I
229;METODE DAN ANALISIS PENELITIAN;WALIZER ,MICHAEL H;1.42;I
230;THEORY OF CATEGORIES;MITCHELL;511.3;II
231;THEORY AND PROBLEMS OF ADVANCED MATHEMATICS FOR ENGINEERS & SCIENTISTS;MURRAY , R SPIEGEL;510;II
232;BEGINNING PARTIAL DIFFERENTIAL EQUATIONS;O' NEIL PETER V;515.35;II
233;BEGINNING PARTIAL DIFFERENTIAL EQUATIONS;O' NEIL PETER V;515.35;II
234;FUNDAMENTALS OF COMPUTER ALGORITHMS;HOROWITZ ,ELLIS;519.4;V
235;PENELITIAN OPERASIONAL TEORI DAN LATIHAN;MARDIONO , NURHAYATI;519;V
236;ALJABAR LINIER;IKI , DAMIANA;512.5;II
237;DIFFERENTIAL EQUATIONS;ROSS , SHEPLEY L.;515.35;II
238;DIGITAL LOGIC AND COMPUTER DESIGN;MANO ,M MORRIS;621.38153;V
239;NONLINEAR PROBLEMS;LANGER , RUDOLF E;519;V
240;THE ECONOMIC OF COMPUTERS;SHARPE ,WILLIAM F;519.703;V
241;KALKULUS ED.IV JILID I;STEWART , JAMES;515;II
242;KALKULUS ED.IV JILID I;STEWART , JAMES ALIH BAHASA : I NYOMAN SUSILA;515.15;II
243;ALJABAR LINEAR DAN APLIKASINYA;LEON , STEVEN J;512.5;II
244;APPLICATIONS OF CALCULUS;PHILIP ,STRAFFIN;515;II
245;MATEMATIKAWAN MUSLIM TERKEMUKA;MOHAINI MOHAMED;658;V
246;NUMERICAL SOLUTION OF PARTIAL DIFFERENTIAL EQUATIONS;MORTON , K.W;515;II
247;COMPUTER VISION. THREE DIMENSIONAL DATA FROM  IMAGES;KLETTE ,REINHARD;6.37;I
248;WEB DESIGN TOOLS AND TECHNIQUES;KENTIE , PETER;4.678;I
249;OPERATING SYSTEM;STALLING , WILLIAMS;5.43;I
250;STOCHASTIC MODELS WITH APPLICATIONS TO GENETICS.CANCERS.AIDS AND OTHER  BIOMEDICAL  SYSTEMS;WAI , TAN;519.23;V
251;STOCHASTIC MODELING OF AIDS EPIDEMIOLOGY AND HIV PATHOGENESIS;WAI TAN;519.23;V
252;TEACHING UNDERGRADUATE MATHEMATICS;BURN , BOB;510.71;II
253;STOCHASTIC CALCULUS AND FINANCIAL APPLICATIONS;STEELE , J. MICHAEL;519.23;V
254;MONTE CARLO CONCEPTS. ALGORITHMS. AND APPLICATIONS;FISHMAN ,GEORGE S;519.2;V
255;MATHEMATICS INSPIRED BY BIOLOGY;DIEKMANN , O;515.282;II
256;ELEMENTARY ANALYSIS THE THEORY OF CALCULUS;ROSS , KENNETH A;515;II
257;A. FIRST COURSE IN DISCRETE DYNAMICAL SYSTEMS;HOLMGREN , RICHARD A;514.74;II
258;UNDER GRADUATE ANALYSIS;LANG , SERGE;515.8;II
259;IMAGE PROCESING AND DATA ANALYSIS;STARCK , J.L;621.367;V
260;FRACTALS EVERYWHERE;BARNSLEY ,MICHAEL;516;II
261;NUMERICAL SOLUTION OF STOCHASTIC DIFFERENTIAL EQUATIONS;KLOEDEN ,PETER E;519.2;V
262;SHORT CALCULUS;LANG , SERGE;515;II
263;A COURSE IN MATHEMATICAL MODELING;MONEY , DOOGLAS D;511.8;II
264;APPLICATIONS OF CALCULUS;PHILIP ,STRAFFIN;515;II
265;MATHEMATICAL EXPEDITIONS;LAUBENBACHER ,REINHARD;510.9;II
266;PROGRAMMING FOR MATHEMATICIANS;SEROUL ,RAYMOND;519.7;V
267;DISTRIBUTED SYTEMS;TANENBAUM ,ANDREW S;5.43;I
268;MAPLE UNTUK PERSAMAAN DIFERENSIAL;KARTONO;510;II
269;DISCRETE MATHEMATICS AND ITS APPLICATIONS FOURTH EDITION;ROSEN , KENNETH H;511;II
270;MODERN DATABASE MANAGEMENT;HOFFER ,JEFREY A;5.74;I
271;PARTIAL DIFFERENTIAL EQUATIONS AND BOUNDARY VALUE PROBLEMS;ASMAR , NAKHLE;515.353;II
272;INTRODUCTION TO MANAGEMENT SCIENCE;HANNA , MICHAEL E;512.13;II
273;SPEECH AND AUDIO SIGNAL PROCESSING;GOLD , BEN;621.382.2;V
274;A. STRUCTURED APPROACH TO FORTRAN 77 PROGRAMMMING;ELLIS , T.M.R;1.64;I
275;OPTIMIZATIONS IN OPERATIONS RESEARCH;RARDIN , RONALD L;519;V
276;VECTOR GEOMETRY;HUMMEL , JAMES A;516.83;II
277;VECTOR GEOMETRY;HUMMEL , JAMES A;516.83;II
278;PARTIAL DIFFERENTIAL EQUATIONS;STRAUSS , WALTER A;515.353;II
279;INTRODUCTION TO MATLAB 6 FOR ENGINEERS;PALM ,WILLIAM J;5.74;I
280;ELEMENTARY LINEAR ALGEBRA;ANTON , HOWARD;512.5;II
281;LOGIC DESIGN OF DIGITAL SYSTEMS;DIETMEYER ,DONALD L;621.3819.58.2;V
282;DIFFERENTIAL EQUATIONS AND THEIR APPLICATIONS;BRAUN , M;515.35;II
283;STRESS AND STRAIN IN METAL ROLLING;TSELIKOV , A;671.32;III atau IV
284;PANDUAN  PENGGUNAAN MATEMATIKA;;515.15;II
285;A.SIMPLIFIED APPROACH TO IMAGE PROCESSING;CRANE , RANDY;621.367;V
286;A.SIMPLIFIED APPROACH TO IMAGE PROCESSING;CRANE , RANDY;621.367;V
287;AN INTRODUCTION TO THE PRINCIPLES OF METALWORKING;ROWE , GEOFFREY W;"671;3";V
288;ELEMENTARY MATHEMATICAL MODELS;KALMAN , DAN;515;II
289;FORECASTING METHODS AND APLICATION;MAKRIDAKIS ,SPYROS;3.2;I
290;THEORY AND PROBLEMS OF DIFFERENTIAL EQUATIONS;AYRES ,FRANK;515.35;II
291;DYNAMIC PROGRAMMING;BELLMAN ,RICHARD;"519;703";V
292;MATRIKS;AYRES , FREANK;512.943;II
293;RISET OPERASI ED.KELIMA. JILID 2;TAHA ,HAMDY A;519;V
294;STRUKTUR DATA;HARIYANTO , BAMBANG;5.7;I
295;METODE PENELITIAN SURVAI;SINGARIMBUN , MASRI;519;V
296;ANALISIS DAN PERANCANGAN SISTEM;KENDALL , KENNETH E.;658.403;V
297;PANDUAN  PENGGUNAAN MATEMATIKA;;515.15;II
298;KALKULUS DAN GEOMETRI ANALITIS JILID II;PURCELL , EDWIN J ALIH BAHASA : I.NYOMAN SUSILA;515.15;II
299;LOGIKA MATEMATIKA;HENDROWATI ,RETNO;510;II
300;METODE NUMERIK;MUNIR , RINALDI;515.6;II
301;SISTEM OPERASI LANJUT;HARIYANTO , BAMBANG;5.43;I
302;SISTEM OPERASI;HARIYANTO , BAMBANG;5.43;I
303;SISTEM OPERASI;STALLING ,WILLIAM;5.43;I
304;ALGORITMA DAN PEMROGRAMAN DALAM BAHASA PASCAL DAN C;MUNIR , RINALDI;5.133;I
305;ANALISIS REGRESI;SEMBIRING ,R.K;519.202.46;V
306;ALGORITMA DAN PEMROGRAMAN DALAM BAHASA PASCAL DAN C;MUNIR , RINALDI;5.133;I
307;METODE NUMERIK DALAM ILMU REKAYASA SIPIL;NASUTION ,AMRINSYAH;519.402.4624;V
308;METODE NUMERIK;MUNIR , RINALDI;515.6;II
309;ALGORITMA DAN PEMROGRAMAN DALAM BAHASA PASCAL DAN C;MUNIR , RINALDI;5.133;I
310;METODA STATISTIKA;SUDJANA;310;V
311;PEMROGRAMAN C++;KADIR , ABDUL;5;I
312;KALKULUS DAN GEOMETRI ANALITIS JILID I EDISI KELIMA;PURCELL ,EDWIN J;515.15;II
313;DEVELOPMENT AND EXPLOITATION OF OIL AND GAS FIELDS;MURAVYOV , I;622.324;V
314;TRIGONOMETRY;HART , WILLIAM L;512.13;II
315;EXERCISES IN PROBABILITY AND STATISTICS;RAHMAN , N.A;519;V
